,website,address,unit_number,bed,bath,amenity,price,sqft
0,https://www.apartments.com/39-north-denver-co/w2bnwdl/,"10225 E Girard Ave, Denver, CO 80231",Unit M106,1 bed,1 bath,{'Features': ['Fireplace']},1193,658
1,https://www.apartments.com/39-north-denver-co/w2bnwdl/,"10225 E Girard Ave, Denver, CO 80231",Unit M103,1 bed,1 bath,{'Features': ['Fireplace']},1337,658
2,https://www.apartments.com/39-north-denver-co/w2bnwdl/,"10225 E Girard Ave, Denver, CO 80231",Unit M107,1 bed,1 bath,{'Features': ['Fireplace']},1337,658
3,https://www.apartments.com/39-north-denver-co/w2bnwdl/,"10225 E Girard Ave, Denver, CO 80231",Unit K208,2 beds,1.5 baths,{'Features': ['Fireplace']},1676,923
4,https://www.apartments.com/39-north-denver-co/w2bnwdl/,"10225 E Girard Ave, Denver, CO 80231",Unit B204,2 beds,1.5 baths,{'Features': ['Fireplace']},1676,923
5,https://www.apartments.com/39-north-denver-co/w2bnwdl/,"10225 E Girard Ave, Denver, CO 80231",Unit K103,2 beds,1.5 baths,{'Features': ['Fireplace']},1690,923
6,https://www.apartments.com/mosaic-denver-co/s1bvqt5/,"6900-7100 E Evans Ave, Denver, CO 80224",Unit B427,1 bed,1 bath,"{'Features': ['Grill', 'High Speed Internet Access', 'Tub/Shower', 'Air Conditioning', 'Cable Ready', 'Heating', 'Kitchen', 'Oven', 'Range', 'Freezer', 'Dishwasher', 'Lawn', 'Carpet', 'Dining Room', 'Vinyl Flooring']}",1233,706
7,https://www.apartments.com/mosaic-denver-co/s1bvqt5/,"6900-7100 E Evans Ave, Denver, CO 80224",Unit A309,1 bed,1 bath,"{'Features': ['Grill', 'High Speed Internet Access', 'Tub/Shower', 'Air Conditioning', 'Cable Ready', 'Heating', 'Kitchen', 'Oven', 'Range', 'Freezer', 'Dishwasher', 'Lawn', 'Carpet', 'Dining Room', 'Vinyl Flooring']}",1233,706
8,https://www.apartments.com/mosaic-denver-co/s1bvqt5/,"6900-7100 E Evans Ave, Denver, CO 80224",Unit A116,1 bed,1 bath,"{'Features': ['Grill', 'High Speed Internet Access', 'Tub/Shower', 'Air Conditioning', 'Cable Ready', 'Heating', 'Kitchen', 'Oven', 'Range', 'Freezer', 'Dishwasher', 'Lawn', 'Carpet', 'Dining Room', 'Vinyl Flooring']}",1233,706
9,https://www.apartments.com/mosaic-denver-co/s1bvqt5/,"6900-7100 E Evans Ave, Denver, CO 80224",Unit A433,2 beds,1 bath,"{'Features': ['Grill', 'High Speed Internet Access', 'Tub/Shower', 'Air Conditioning', 'Cable Ready', 'Heating', 'Kitchen', 'Oven', 'Range', 'Freezer', 'Dishwasher', 'Lawn', 'Carpet', 'Dining Room', 'Vinyl Flooring']}",1575,865
10,https://www.apartments.com/mosaic-denver-co/s1bvqt5/,"6900-7100 E Evans Ave, Denver, CO 80224",Unit B402,2 beds,1 bath,"{'Features': ['Grill', 'High Speed Internet Access', 'Tub/Shower', 'Air Conditioning', 'Cable Ready', 'Heating', 'Kitchen', 'Oven', 'Range', 'Freezer', 'Dishwasher', 'Lawn', 'Carpet', 'Dining Room', 'Vinyl Flooring']}",1613,865
11,https://www.apartments.com/mosaic-denver-co/s1bvqt5/,"6900-7100 E Evans Ave, Denver, CO 80224",Unit A303,2 beds,1 bath,"{'Features': ['Grill', 'High Speed Internet Access', 'Tub/Shower', 'Air Conditioning', 'Cable Ready', 'Heating', 'Kitchen', 'Oven', 'Range', 'Freezer', 'Dishwasher', 'Lawn', 'Carpet', 'Dining Room', 'Vinyl Flooring']}",1655,865
12,https://www.apartments.com/mosaic-denver-co/s1bvqt5/,"6900-7100 E Evans Ave, Denver, CO 80224",Unit A204,2 beds,1 bath,"{'Features': ['Grill', 'High Speed Internet Access', 'Tub/Shower', 'Air Conditioning', 'Heating', 'Kitchen', 'Oven', 'Range', 'Freezer', 'Dishwasher', 'Lawn', 'Carpet', 'Dining Room', 'Double Pane Windows', 'Vinyl Flooring']}",1731,900
